28 Oct 2024 - 16:33:17.663 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
28 Oct 2024 - 16:33:18.323 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path '/'
28 Oct 2024 - 16:33:18.332 [main] INFO  c.e.InterviewQuestionsApplication - Started InterviewQuestionsApplication in 5.984 seconds (process running for 6.389)
28 Oct 2024 - 16:33:18.660 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://95.130.227.202:5432/interview_questionsDB (PostgreSQL 10.23)
28 Oct 2024 - 16:33:19.410 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.274s)
28 Oct 2024 - 16:33:20.204 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
28 Oct 2024 - 16:33:20.270 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
28 Oct 2024 - 16:43:22.296 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
28 Oct 2024 - 16:43:22.298 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
28 Oct 2024 - 16:43:22.854 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
28 Oct 2024 - 16:43:26.670 [main] INFO  c.e.InterviewQuestionsApplication - Starting InterviewQuestionsApplication using Java 17.0.12 with PID 11036 (D:\JavaProject\Interview_questions\target\classes started by Xojiakbar in D:\JavaProject\Interview_questions)
28 Oct 2024 - 16:43:26.681 [main] INFO  c.e.InterviewQuestionsApplication - The following 1 profile is active: "prod"
28 Oct 2024 - 16:43:27.546 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
28 Oct 2024 - 16:43:27.606 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 53 ms. Found 2 JPA repository interfaces.
28 Oct 2024 - 16:43:28.052 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
28 Oct 2024 - 16:43:28.060 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
28 Oct 2024 - 16:43:28.061 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
28 Oct 2024 - 16:43:28.109 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
28 Oct 2024 - 16:43:28.110 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1395 ms
28 Oct 2024 - 16:43:28.219 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
28 Oct 2024 - 16:43:28.261 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
28 Oct 2024 - 16:43:28.283 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
28 Oct 2024 - 16:43:28.511 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
28 Oct 2024 - 16:43:28.534 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
28 Oct 2024 - 16:43:29.267 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6cd66f6a
28 Oct 2024 - 16:43:29.269 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
